LAB_ID,AUPPB_NA,LATITUDE,LONGITUDE
C100260,5.81,33.40555,-106.44305
C100261,0.1,33.15722,-105.84444
C100262,14.9,33.30833,-106.56417
C100263,1.4,33.4775,-106.45777
C100264,0.07,33.4775,-106.45777
C100265,168.0,32.72388,-107.57195
C100266,4.9,33.59805,-106.45833
C100267,47.3,33.30833,-106.56417
C100268,10.6,33.29027,-106.61833
C100269,16.0,33.59805,-106.45833
C100270,3.42,33.40555,-106.44305
C100272,3.71,32.72028,-107.57222
C100273,1.2,33.15722,-105.84444
C100274,0.84,33.15722,-105.84444
C100275,10.1,32.72,-107.57333
C100276,19.0,33.31361,-106.54972
C100277,0.66,33.15722,-105.84444
C100278,0.55,33.59805,-106.45833
C100280,28.3,33.31361,-106.54972
C100281,4.1,33.59805,-106.45833
C100282,55.9,32.42778,-106.12
C100283,157.0,33.02444,-106.59972
C100284,1.8,33.15722,-105.84444
C100285,7.76,32.72,-107.57333
C100286,0.47,33.59805,-106.45833
C100287,24.7,33.30833,-106.56417
C100288,27.8,32.42778,-106.12
C100289,35.8,32.72388,-107.57195
C100290,51.1,32.42305,-106.12278
C100291,4.85,33.3125,-106.55334
C100292,14.8,32.42305,-106.12278
C100293,9.1,32.72388,-107.57195
C100294,0.32,33.15722,-105.84444
C100295,24.2,32.72028,-107.57222
C100296,210.0,33.02444,-106.59972
C100297,262.0,32.72388,-107.57195
C100298,4.86,33.3125,-106.55334
C100299,53.0,32.42778,-106.12
C100302,25.3,33.30833,-106.56417
C100303,14.5,33.30833,-106.56417
C100304,5.36,33.40555,-106.44305
C100305,24.6,32.42778,-106.12
C100306,15.3,33.31361,-106.54972
C100307,0.75,33.15722,-105.84444
C100308,136.0,33.21944,-106.66167
C100309,232.0,32.42778,-106.12
C100310,164.0,33.21944,-106.66167
C100311,50.4,32.72388,-107.57195
C100312,4.76,33.40555,-106.44305
C100313,13.4,32.72028,-107.57222
C100314,7.94,33.29027,-106.61833
C100316,26.3,32.72028,-107.57222
C100317,24.2,33.29027,-106.61833
C100318,29.1,33.3125,-106.55334
C100319,183.0,33.21944,-106.66167
C100320,295.0,33.21944,-106.66167
C100321,72.0,32.72388,-107.57195
C100322,3.1,33.4775,-106.45777
C100323,9.58,32.72,-107.57333
C100324,69.9,32.42778,-106.12
C100325,84.2,32.42222,-106.12195
C100326,4.0,33.4775,-106.45777
C100328,8.79,33.3125,-106.55334
C100329,14.4,33.29027,-106.61833
C100330,3.94,32.72388,-107.57195
C100331,5.88,33.4775,-106.45777
C100332,1.8,33.59805,-106.45833
C100333,109.0,33.21944,-106.66167
C100334,39.3,32.42222,-106.12195
C100335,47.6,33.31361,-106.54972
C100336,3.9,33.59805,-106.45833
C100337,13.4,32.42222,-106.12195
C100338,7.82,32.72388,-107.57195
C100339,25.8,32.72028,-107.57222
C100340,79.7,32.42222,-106.12195
C100341,50.4,33.30833,-106.56417
C100344,31.2,32.72388,-107.57195
C100345,2.0,33.4775,-106.45777
C100346,98.5,32.72388,-107.57195
C100347,4.6,33.29027,-106.61833
C100348,16.0,33.29027,-106.61833
C100349,10.5,33.3125,-106.55334
C100350,7.3,33.59805,-106.45833
C100351,15.5,32.42222,-106.12195
C100352,5.0,32.42305,-106.12278
C100353,107.0,33.02444,-106.59972
C100354,1.8,33.59805,-106.45833
C100355,3.7,32.42305,-106.12278
C100356,92.7,33.21944,-106.66167
C100357,13.5,32.42305,-106.12278
C100358,29.1,33.31361,-106.54972
C100360,27.1,33.30833,-106.56417
C100361,1.5,33.15722,-105.84444
C100362,12.6,32.72028,-107.57222
C100364,5.5,33.59805,-106.45833
C100365,6.64,33.40555,-106.44305
C100366,19.0,33.59805,-106.45833
C100367,41.8,32.42222,-106.12195
C100368,24.7,33.31361,-106.54972
C100491,0.8,44.55833,-111.68889
C100492,0.61,44.57472,-111.73139
C100494,0.32,44.55833,-111.68889
C100495,0.5,44.57472,-111.73139
C100496,0.75,44.57472,-111.73139
C100497,0.42,44.54583,-111.7
C100498,0.78,44.55833,-111.68889
C100499,0.14,44.55194,-111.65833
C100500,1.5,44.55194,-111.65833
C100501,0.42,44.57472,-111.73139
C100503,0.45,44.54583,-111.7
C100505,2.5,45.03444,-112.67916
C100506,2.5,44.55833,-111.68889
C100507,1.3,44.55833,-111.68889
C100508,1.6,44.55194,-111.65833
C100509,2.4,45.03444,-112.67916
C100510,0.19,45.03444,-112.67916
C100512,2.4,45.03444,-112.67916
C100513,2.1,45.03444,-112.67916
C100514,1.1,44.55833,-111.68889
C100515,0.46,44.57472,-111.73139
C100516,0.48,44.55833,-111.68889
C100517,0.19,44.57472,-111.73139
C100518,1.1,45.03444,-112.67916
C100523,4.6,44.76389,-111.83389
C100524,0.71,44.54583,-111.7
C100525,1.3,44.55833,-111.68889
C100526,3.4,44.54583,-111.7
C100527,1.2,44.54583,-111.7
C100528,1.7,44.55833,-111.68889
C100529,2.4,44.55833,-111.68889
C100530,1.5,44.54583,-111.7
C100533,1.0,44.54583,-111.7
C100534,2.6,45.03444,-112.67916
C100535,3.4,44.55833,-111.68889
C100536,1.6,45.03444,-112.67916
C100538,3.1,44.55833,-111.68889
C100540,0.58,44.54583,-111.7
C100541,1.6,44.54583,-111.7
C100542,4.3,44.55833,-111.68889
C100543,0.97,44.55833,-111.68889
C100544,0.78,44.55833,-111.68889
C100545,0.071,44.57111,-112.70416
C100546,1.5,44.54583,-111.7
C100548,1.0,44.55194,-111.65833
C100549,1.8,45.03444,-112.67916
C100550,0.58,44.54583,-111.7
C100551,0.3,44.55833,-111.68889
C100552,3.0,45.03444,-112.67916
C100553,1.0,45.03444,-112.67916
C100554,2.4,45.03444,-112.67916
C100556,2.9,44.55833,-111.68889
C100557,2.9,45.03444,-112.67916
C100558,0.31,44.55194,-111.65833
C100666,1.5,48.10833,-88.60667
C100667,1.7,48.10333,-88.59917
C100668,1.6,48.09889,-88.61555
C100669,1.3,48.09499,-88.61222
C100670,0.07,48.11805,-88.51889
C100671,1.7,48.12639,-88.51167
C100672,1.4,48.06222,-88.47556
C100673,1.5,48.05972,-88.57722
C100674,2.5,48.16944,-88.45777
C100675,2.5,48.175,-88.44167
C100676,4.0,48.17944,-88.43194
C100678,1.8,48.16528,-88.34222
C100679,0.55,48.10805,-88.55584
C100680,2.3,47.92361,-89.14916
C100681,0.2,47.9225,-89.175
C100682,2.3,47.925,-89.17472
C100683,2.0,47.94444,-89.15694
C100684,0.94,47.93222,-88.33584
C100685,2.0,47.93611,-89.04166
C100686,4.1,48.08611,-88.72916
C100687,0.12,47.97555,-88.72778
C100688,1.2,48.10889,-88.36806
C100689,1.3,46.43889,-90.295
C100690,0.3,46.43611,-90.29583
C100691,1.2,46.43611,-90.29583
C100692,3.5,46.37639,-90.35889
C100693,8.71,46.28055,-91.09167
C100694,1.1,46.26389,-91.09167
C100695,0.61,46.36666,-90.74583
C100696,5.85,46.32222,-90.63889
C100697,5.5,46.32916,-90.52555
C100698,0.11,46.39167,-90.55556
C100699,3.9,46.17555,-90.02917
C100700,12.6,46.28472,-90.02917
C100701,7.1,46.25139,-91.18055
C100702,2.7,46.09222,-91.27778
C100703,2.8,47.92639,-89.18333
C101067,0.67,42.34472,-104.68139
C101068,1.3,42.34527,-104.68194
C101069,3.38,42.34527,-104.68194
C101070,1.1,42.34583,-104.68222
C101071,1.1,42.33333,-104.70638
C101074,3.54,42.76083,-104.465
C101076,0.13,42.59444,-104.50667
C101077,0.73,42.59305,-104.50667
C101078,0.54,42.59333,-104.50694
C101079,2.9,42.59805,-104.50806
C101080,2.0,42.59166,-104.51139
C101081,0.26,42.59055,-104.51195
C101082,0.52,42.59055,-104.51195
C101083,0.27,42.58611,-104.50889
C101084,0.88,42.34527,-104.67027
C101085,116.0,42.54167,-108.74166
C101086,1.7,42.32694,-104.68555
C101087,10.6,42.33583,-104.68667
C101088,8.19,42.33333,-104.68584
C101090,3.49,42.56472,-104.60889
C101091,1.2,42.61805,-104.46611
C101092,1.1,42.59416,-104.52167
C101772,14600.0,45.22944,-111.93083
C101774,14.0,44.72639,-113.01723
C101775,4.8,44.72639,-113.01723
C101778,1.1,44.63889,-112.93694
C101780,0.41,44.52055,-112.81361
C101781,2.99,44.52055,-112.81361
C101782,1.5,44.52055,-112.81361
C101783,1.4,44.52055,-112.81361
C101787,0.23,44.4275,-112.94222
C101789,0.093,44.4275,-112.94222
C101790,0.56,44.78111,-112.94972
C101791,0.55,44.78111,-112.94972
C101792,0.41,44.78111,-112.94972
C101793,0.36,44.78111,-112.94972
C101794,0.14,44.78111,-112.94972
C101795,1.2,44.78416,-112.9525
C101801,0.22,44.70389,-113.03084
C101803,6550.0,45.21666,-111.93194
C102123,1.47,42.59499,-104.52084
C102124,1.25,42.59499,-104.52084
C102125,12.3,42.59499,-104.52084
C102126,0.56,42.62444,-104.50278
C102127,7.71,42.33,-104.69945
C102128,1.4,42.33,-104.69917
C102129,1.5,42.33,-104.69917
C102130,1.93,42.32666,-104.71361
C102131,1.23,42.32666,-104.71361
C102132,1.1,42.32889,-104.69833
C102133,0.57,42.32889,-104.69833
C102136,0.24,42.41194,-104.58972
C102137,0.49,42.41166,-104.59111
C102138,0.55,42.40917,-104.58472
C102139,0.33,42.41472,-104.57889
C102140,5.41,42.34,-104.68889
C103964,15.1,32.85638,-107.67833
C103965,2060.0,32.94722,-107.55528
C103966,4.24,32.72083,-107.57417
C103967,820.0,32.94111,-107.55389
C103968,365.0,32.63389,-107.59084
C103969,119.0,32.72361,-107.57361
C103970,20.0,32.585,-107.72195
C103971,62.1,32.98083,-107.51833
C103972,181.0,32.93389,-107.72083
C103973,15.9,32.72028,-107.57195
C103974,342.0,32.95222,-107.56195
C103975,6610.0,32.94889,-107.56389
C103976,25.6,32.97166,-107.52528
C103977,10.8,32.72028,-107.57389
C103978,3230.0,32.94555,-107.55862
C103979,18.7,32.71833,-107.57305
C103980,42.1,32.98083,-107.51833
C103981,361.0,32.85666,-107.67889
C103982,136.0,32.40305,-106.11417
C103984,11.1,32.72028,-107.57389
C103985,7.47,32.63472,-107.58833
C103986,860.0,32.94638,-107.5575
C103987,363.0,32.95694,-107.52473
C103988,2.74,32.72139,-107.57417
C103989,371.0,32.94111,-107.55389
C103990,205.0,32.63389,-107.59084
C103991,9.17,32.72305,-107.57389
C103992,8010.0,32.85583,-107.67861
C103993,860.0,32.94861,-107.55167
C103994,628.0,32.94722,-107.555
C103995,11.1,32.85555,-107.67777
C103996,15.5,32.72028,-107.57195
C103997,76.9,32.94416,-107.69556
C103998,42.4,32.85666,-107.67889
C103999,1040.0,32.94638,-107.5575
C104000,87.8,32.93389,-107.72083
C104001,55.3,32.92861,-107.71388
C104002,373.0,32.63389,-107.59084
C104003,827.0,32.95472,-107.56167
C104004,755.0,32.94555,-107.55862
C104005,0.12,32.72139,-107.56833
C104006,56.8,32.92861,-107.71388
C104007,555.0,32.93472,-107.71944
C104008,37.7,32.58111,-107.72166
C104009,126.0,32.93111,-107.72723
C104010,24.8,32.97166,-107.52528
C104011,94.4,32.97,-107.52306
C104013,5.36,32.72,-107.57195
C104014,488.0,32.72361,-107.57361
C104015,316.0,32.93472,-107.71944
C104016,4680.0,32.98,-107.52195
C104017,63.4,32.7225,-107.57305
C104018,10.4,32.85555,-107.67777
C104019,384.0,32.98277,-107.53306
C104020,13.6,32.58166,-107.72166
C104021,516.0,32.93472,-107.71944
C104022,11.5,32.95833,-107.52444
C104023,1470.0,32.94889,-107.56389
C104024,633.0,32.94861,-107.55167
C104025,22.2,32.93361,-107.72778
C104026,3910.0,32.85638,-107.67944
C104027,286.0,32.94778,-107.55334
C104029,4.12,32.72416,-107.5675
C104030,2.7,32.855,-107.67889
C104031,923.0,32.98055,-107.52028
C104032,2.3,33.02777,-107.2375
C104033,116.0,32.98277,-107.53638
C104034,62.9,32.72,-107.57195
C104035,38.9,32.58111,-107.72166
C104036,40.0,32.85666,-107.67889
C104037,134.0,32.63389,-107.59084
C104038,287.0,32.63389,-107.59084
C104039,22.8,32.72444,-107.57222
C104040,48.4,32.85722,-107.67944
C104041,141.0,32.92861,-107.71388
C105176,1.2,46.705,-68.70055
C105177,1.5,46.69611,-68.70194
C105179,2.7,46.64028,-68.68583
C105180,1.7,46.65778,-68.67528
C105182,1.7,46.7325,-68.75944
C105183,1.7,46.7325,-68.75944
C105184,1.7,46.64611,-68.87
C105185,1.9,46.64805,-68.86056
C105186,1.8,46.63889,-68.875
C105187,4.2,46.87138,-68.67611
C105188,0.28,46.86833,-68.67472
C105189,0.41,46.84889,-68.73555
C105190,1.1,46.85416,-68.62861
C105191,1.2,46.63583,-68.89166
